compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	rt_space	tags
AMINOCAPROIC ACID HYDROCHLORIDE	SLXKOJJOQWFEFD-UHFFFAOYSA-N	[M-H]-	130.087352656	0.529584934652475	0.029584934652475026	1.029584934652475		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_7_MS-P1-C8_1_Rg80to1200-CE205060norm--S1_Run47.h5	HF_Aug2019	
ALENDRONATE SODIUM TRIHYDRATE	OGSPWJRAVKPPFI-UHFFFAOYSA-N	[M-H]-	248.00944901600002	0.5299322892324811	0.029932289232481146	1.0299322892324811		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_9_MS-P1-C10_1_Rg80to1200-CE102040norm--S1_Run56.h5	HF_Aug2019	
glyceraldehyde	MNQZXJOMYWMBOU-UHFFFAOYSA-N	[M-H]-	89.0243941	0.53940863	0.33940863	0.73940863		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_10_P-2-R-B_1_Rg70to1050-CE102040--S1_Run64.mzML	HF_Aug2019	
lactic acid	JVTAAEKCZFNVCJ-REOHCLBHSA-N	[M-H]-	89.0243941	0.539459185	0.339459185	0.739459185		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_0_QC-new_Pre_Rg70to1050-CE102040--QC_Run7.mzML	HF_Aug2019	
dtdp-alpha-glucose	YSYKRGRSMLTJNL-URARBOGNSA-N	[M-H]-	563.068456	0.54861994	0.348619939	0.748619939		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_15_P-2-R-G_1_Rg70to1050-CE102040--S1_Run89.mzML	HF_Aug2019	
nicotinic acid	PVNIIMVLHYAWGP-UHFFFAOYSA-N	[M-H]-	122.024728	0.55779262	0.357792616	0.757792616		negative				20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_2_P-1-R-B_1_Rg70to1050-CE102040--S1_Run24.mzML	HF_Aug2019	
ISONIAZID	QRXWMOHMRWLFEY-UHFFFAOYSA-N	[M-H]-	136.051635844	0.566610285343414	0.06661028534341396	1.066610285343414		negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_NEG_MS2_29_MS-P3-C10_1_Rg80to1200-CE205060norm--S1_Run163.h5	HF_Aug2019	
3,4-dihydroxymandelic acid	RGHMISIYKIHAJW-UHFFFAOYSA-N	[M-H]-	183.029873	0.5740991	0.3740991	0.7740991		negative				20190108_KBL_TN_EMA_MSMLS_Plt5n7_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_40_P-5-R-H_1_Rg70to1050-CE102040--S1_Run48.mzML	HF_Aug2019	
tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N	[M-H]-	180.066617212	0.593456711931746	0.09345671193174598	1.093456711931746	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20260327_JGI_AE_511825_SorghAnth_final_EXP120B_C18_USDAY91587/20260327_JGI_AE_511825_SorghAnth_final_EXP120B_C18_USDAY91587_NEG_MS2_RefStd-6_tyrosine-10ugml_1_Rg80to1200-CE205060norm-RefStd-S1_Run271.h5	HF_Aug2019	
3-amino-5-hydroxybenzoic acid	QPEJHSFTZVMSJH-UHFFFAOYSA-N	[M-H]-	152.035293	0.603924397	0.403924397	0.803924397		negative				20190108_KBL_TN_EMA_MSMLS_Plt5n7_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_37_P-5-R-E_1_Rg70to1050-CE102040--S1_Run33.mzML	HF_Aug2019	
fumaric acid	VZCYOOQTPOCHFL-OWOJBTEDSA-N	[M-H]-	115.003659	0.61518452	0.415184518	0.815184518		negative				20190108_KBL_TN_EMA_MSMLS_Plt5n7_QE-HF_C18_USDAY46918_Stds1_NEG_MSMS_39_P-5-R-G_1_Rg70to1050-CE102040--S1_Run43.mzML	HF_Aug2019	
