label	compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	lcmsrun_source	rt_space
ribavirin	ribavirin	IWUCXVSUMQZMFG-AFCXAGJDSA-N	[M+Na]+	267.069987484	0.5037041552622143	0.0037041552622143	1.0037041552622143	5.0	positive		/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_POS_MS2_43_MS-P5-C4_1_Rg80to1200-CE102040norm--S1_Run232.h5	HF_Aug2019
methacholine chloride	methacholine chloride	NZWOPGCLSHLLPA-UHFFFAOYSA-N	[M]+	160.13265665618076	0.5160269924561974	0.0160269924561974	1.016026992456197	5.0	positive		/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_POS_MS2_24_MS-P3-C5_1_Rg80to1200-CE102040norm--S1_Run133.h5	HF_Aug2019
l-phenylephrine	l-phenylephrine	SONNWYBIRXJNDC-VIFPVBQESA-N	[M+H]+	168.101904656	0.5248408691412503	0.0248408691412502	1.0248408691412505	5.0	positive		/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_POS_MS2_36_MS-P4-C7_1_Rg80to1200-CE205060norm--S1_Run196.h5	HF_Aug2019
alendronate sodium trihydrate	alendronate sodium trihydrate	OGSPWJRAVKPPFI-UHFFFAOYSA-N	[M+H]+	250.024001016	0.5461282587672333	0.0461282587672332	1.0461282587672334	5.0	positive		/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_POS_MS2_9_MS-P1-C10_1_Rg80to1200-CE102040norm--S1_Run54.h5	HF_Aug2019
nicotinic acid	nicotinic acid	PVNIIMVLHYAWGP-UHFFFAOYSA-N	[M+H]+	124.039328	0.55168204	0.35168204	0.75168204	5.0	positive		20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_POS_MSMS_2_P-1-R-B_1_Rg70to1050-CE102040--S1_Run22.mzML	HF_Aug2019
dtdp-alpha-d-glucose	dtdp-alpha-d-glucose	YSYKRGRSMLTJNL-URARBOGNSA-N	[M+Na]+	587.064956	0.5585826	0.3585826	0.758582599	5.0	positive		20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_POS_MSMS_15_P-2-R-G_1_Rg70to1050-CE102040--S1_Run87.mzML	HF_Aug2019
dihydroxymandelic acid	dihydroxymandelic acid	RGHMISIYKIHAJW-UHFFFAOYSA-N	[M+H-H2O]+	167.033873	0.56104904	0.36104904	0.76104904	5.0	positive		20190108_KBL_TN_EMA_MSMLS_Plt5n7_QE-HF_C18_USDAY46918_Stds1_POS_MSMS_40_P-5-R-H_1_Rg70to1050-CE102040--S1_Run46.mzML	HF_Aug2019
cytarabine	cytarabine	UHDGCWIWMRVCDJ-STUHELBRSA-N	[M+H]+	244.092796516	0.5853939313497712	0.0853939313497712	1.0853939313497714	5.0	positive		/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_POS_MS2_15_MS-P2-C6_1_Rg80to1200-CE205060norm--S1_Run87.h5	HF_Aug2019
quinolinic acid	quinolinic acid	GJAWHXHKYYXBSV-UHFFFAOYSA-N	[M+H]+	168.029158	0.59096683	0.39096683	0.79096683	5.0	positive		20190108_KBL_TN_EMA_MSMLS_Plt12346_QE-HF_C18_USDAY46918_Stds1_POS_MSMS_11_P-2-R-C_1_Rg70to1050-CE102040--S1_Run67.mzML	HF_Aug2019
tyrosine	tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N	[M+H]+	182.081169212	0.5942974005933505	0.0942974005933504	1.0942974005933506	5.0	positive		/global/cfs/cdirs/metatlas/raw_data/jgi/20260327_JGI_AE_511825_SorghAnth_final_EXP120B_C18_USDAY91587/20260327_JGI_AE_511825_SorghAnth_final_EXP120B_C18_USDAY91587_POS_MS2_RefStd-6_tyrosine-10ugml_1_Rg80to1200-CE205060norm-RefStd-S1_Run269.h5	HF_Aug2019
mechlorethamine	mechlorethamine	HAWPXGHAZFHHAD-UHFFFAOYSA-N	[M+H]+	156.03413071199998	0.5974930129439232	0.0974930129439232	1.097493012943923	5.0	positive		/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_POS_MS2_23_MS-P3-C4_1_Rg80to1200-CE102040norm--S1_Run128.h5	HF_Aug2019
3-amino-5-hydroxybenzoic acid	3-amino-5-hydroxybenzoic acid	QPEJHSFTZVMSJH-UHFFFAOYSA-N	[M+H]+	154.049893	0.609614865	0.409614865	0.809614865	5.0	positive		20190108_KBL_TN_EMA_MSMLS_Plt5n7_QE-HF_C18_USDAY46918_Stds1_POS_MSMS_37_P-5-R-E_1_Rg70to1050-CE102040--S1_Run31.mzML	HF_Aug2019
dopamine	dopamine	VYFYYTLLBUKUHU-UHFFFAOYSA-N	[M+H]+	154.086254592	0.6141394081243678	0.1141394081243678	1.1141394081243678	5.0	positive		/global/cfs/cdirs/metatlas/raw_data/jgi/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328/20250410_JGI_BerkLab_507792_MicroSourceStds_P1toP5-AbsNorm_EXP120B_C18_USDAY91328_POS_MS2_19_MS-P2-C10_1_Rg80to1200-CE102040norm--S1_Run108.h5	HF_Aug2019
