compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	tags
2'-deoxyadenosine	OLXZPDWKRNYJJZ-RRKCRQDMSA-N	[M+H]+	252.109139	1.03445217	0.834452171	1.23445217		positive					
xanthosine	UBORTCNDUKBEOP-UUOKFMHZSA-N	[M+H]+	285.082984	1.42537458	1.22537458	1.62537458		positive					
phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N	[M+H]+	166.086279	1.45295356	1.25295356	1.652953555		positive					
thymidine	IQFYYKKMVGJFEH-XLPZGREQSA-N	[M+H]+	243.097572	2.013823219	1.813823219	2.213823219		positive					
d-tryptophan	QIVBCDIJIAJPQS-SECBINFHSA-N	[M+H]+	205.097178	2.20026682	2.00026682	2.400266822		positive					
caffeine	RYYVLZVUVIJVGH-UHFFFAOYSA-N	[M+H]+	195.087676	2.65253674	2.45253674	2.852536742		positive					
salicylic acid	YGSDEFSMJLZEOE-UHFFFAOYSA-N	[M+H]+	139.038994	3.39757074	3.19757074	3.59757074		positive					
2-Amino-3-bromo-5-methylbenzoic acid	LCMZECCEEOQWLQ-UHFFFAOYSA-N	[M+H]+	229.9811165	4.7	4.5	4.9		positive					
enoxolone	MPDGHEJMBKOTSU-YKLVYJNSSA-N	[M+H]+	471.34691	6.60592789	6.40592789	6.80592789		positive					
9-cis-retinoic acid	SHGAZHPCJJPHSC-YCNIQYBTSA-N	[M+H]+	301.21623	7.37277818	7.17277818	7.57277818		positive					
sarsasapogenin	GMBQZIIUCVWOCD-WWASVFFGSA-N	[M+H]+	417.336345	8.15510135	7.95510135	8.35510135		positive					
nigericin	MOYOTUKECQMGHE-PDEFJWSRSA-M	[M+H]+	747.4654072	8.559813328	8.35981333	8.759813328		positive					
