compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	rt_space	tags
TOLNAFTATE	FUSNMLFNXJSCDI-UHFFFAOYSA-N	[M-H]-	306.0958092	0.61090151	0.11090151	1.11090151	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_47_MS-P5-C8_1_Rg70to1050-CE205060norm--S1_Run252.h5	HF_Aug2019	
FLUMETHAZONE PIVALATE	JWRMHDSINXPDHB-DCPWPRNHSA-N	[M-H]-	493.2407193	0.616387015	0.116387015	1.116387015	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_28_MS-P3-C9_1_Rg70to1050-CE102040norm--S1_Run154.h5	HF_Aug2019	
FIROCOXIB	FULAPETWGIGNMT-UHFFFAOYSA-N	[M-H]-	335.0958687	0.617750941	0.117750941	1.117750941	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_4_MS-P1-C5_1_Rg70to1050-CE205060norm--S1_Run32.h5	HF_Aug2019	
FLUOCINONIDE	WJOHZNCJWYWUJD-UUTDCOIBSA-N	[M+Cl]-	529.1810118	0.618679686	0.118679686	1.118679686	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_30_MS-P3-C11_1_Rg70to1050-CE102040norm--S1_Run164.h5	HF_Aug2019	
OXYBENZONE	DXGLGDHPHMLXJC-UHFFFAOYSA-N	[M-H]-	227.0713682	0.624817585	0.124817585	1.124817585	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_39_MS-P4-C10_1_Rg70to1050-CE102040norm--S1_Run210.h5	HF_Aug2019	
BECLOMETHASONE DIPROPIONATE	KUVIULQEHSCUHY-UHFFFAOYSA-N	[M-H]-	519.2155052	0.624842651	0.124842651	1.124842651	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_2_MS-P1-C3_1_Rg70to1050-CE102040norm--S1_Run21.h5	HF_Aug2019	
ESTRADIOL VALERATE	RSEPBGGWRJCQGY-ZZSVNSIZSA-N	[M-H]-	355.2278689	0.625897001	0.125897001	1.125897001	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_16_MS-P2-C7_1_Rg70to1050-CE205060norm--S1_Run93.h5	HF_Aug2019	
BITHIONOL	JFIOVJDNOJYLKP-UHFFFAOYSA-N	[M-H]-	352.8769852	0.626596201	0.126596201	1.126596201	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_1_MS-P1-C2_1_Rg70to1050-CE102040norm--S1_Run16.h5	HF_Aug2019	
PHENYLBUTAZONE	VYMDGNCVAMGZFE-UHFFFAOYSA-N	[M-H]-	307.1452019	0.629500021	0.129500021	1.129500021	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_35_MS-P4-C6_1_Rg70to1050-CE205060norm--S1_Run190.h5	HF_Aug2019	
DANTHRON	QBPFLULOKWLNNW-UHFFFAOYSA-N	[M-H]-	239.0349827	0.630736267	0.130736267	1.130736267	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_3_MS-P1-C4_1_Rg70to1050-CE205060norm--S1_Run27.h5	HF_Aug2019	
ESTRADIOL CYPIONATE	UOACKFBJUYNSLK-OCTSOESTSA-N	[M-H]-	395.259169	0.633876934	0.133876934	1.133876934	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_15_MS-P2-C6_1_Rg70to1050-CE102040norm--S1_Run87.h5	HF_Aug2019	
CYPROTERONE ACETATE	UWFYSQMTEOIJJG-WMANOXGZSA-N	[M-H]-	415.1681611	0.639359136	0.139359136	1.139359136	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_14_MS-P2-C5_1_Rg70to1050-CE205060norm--S1_Run83.h5	HF_Aug2019	
NIFEDIPINE	HYIMSNHJOBLJNT-UHFFFAOYSA-N	[M-H]-	345.1092103	0.642241568	0.142241568	1.142241568	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_31_MS-P4-C2_1_Rg70to1050-CE102040norm--S1_Run169.h5	HF_Aug2019	
DANAZOL	POZRVZJJTULAOH-GSQPBCFPSA-N	[M-H]-	336.1969031	0.648092675	0.148092675	1.148092675	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_17_MS-P2-C8_1_Rg70to1050-CE102040norm--S1_Run97.h5	HF_Aug2019	
Sorgoleone	FGWRUVXUQWGLOX-AFJQJTPPSA-N	[M-H]-	357.2071334	0.648786975	0.148786975	1.148786975	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20241002_JGI_HS_510060_SorghExu_final1_EXP120B_HILICZ_USHXG02558/20241002_JGI_HS_510060_SorghExu_final1_EXP120B_HILICZ_USHXG02558_NEG_MS2_RefStd-1_Sorgoleone_1_Rg70to1050-CE102040norm-200uM-S1_Run377.h5	HF_Aug2019	
FLUOCINONIDE	WJOHZNCJWYWUJD-UUTDCOIBSA-N	[M-H]-	493.2043338	0.654021054	0.154021054	1.154021054	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_30_MS-P3-C11_1_Rg70to1050-CE205060norm--S1_Run165.h5	HF_Aug2019	
CORTISONE ACETATE	ITRJWOMZKQRYTA-XLSOAHDVSA-N	[M-H]-	401.1969627	0.655818823	0.155818823	1.155818823	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_16_MS-P2-C7_1_Rg70to1050-CE102040norm--S1_Run92.h5	HF_Aug2019	
DIOXYBENZONE	MEZZCSHVIGVWFI-UHFFFAOYSA-N	[M-H]-	243.0662829	0.660148663	0.160148663	1.160148663	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_13_MS-P2-C4_1_Rg70to1050-CE205060norm--S1_Run78.h5	HF_Aug2019	
