compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	rt_space	tags
prednisone	XOFYZVNMUHMLCC-BDQMTFAOSA-N	[M+Cl]-	393.1474259	0.802545692	0.302545692	1.302545692	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_40_MS-P4-C11_1_Rg70to1050-CE205060norm--S1_Run216.h5	HF_Aug2019	
ibuprofen	HEFNNWSXXWATRW-UHFFFAOYSA-N	[M-H]-	205.1234038	0.814593517	0.314593517	1.314593517	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_21_MS-P3-C2_1_Rg70to1050-CE205060norm--S1_Run119.h5	HF_Aug2019	
nitrofurantoin	NXFQHRVNIOXGAQ-YCRREMRBSA-N	[M-H]-	237.0265433	0.821348642	0.321348642	1.321348642	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_32_MS-P4-C3_1_Rg70to1050-CE205060norm--S1_Run175.h5	HF_Aug2019	
oxyphenbutazone	HFHZKZSRXITVMK-UHFFFAOYSA-N	[M-H]-	323.1401165	0.85318653	0.35318653	1.35318653	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_31_MS-P4-C2_1_Rg70to1050-CE205060norm--S1_Run170.h5	HF_Aug2019	
indole-3-acetonitrile	DMCPFOBLJMLSNX-UHFFFAOYSA-N	[M-H]-	155.06147	0.882932041	0.132932041	1.632932041	20	negative	none				HF_Aug2019	
cinoxacin	VDUWPHTZYNWKRN-UHFFFAOYSA-N	[M-H]-	261.0516954	0.885995661	0.385995661	1.385995661	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_15_MS-P2-C6_1_Rg70to1050-CE205060norm--S1_Run88.h5	HF_Aug2019	
sulfamethoxazole	JLKIGFTWXXRPMT-UHFFFAOYSA-N	[M-H]-	252.0448362	0.891383291	0.391383291	1.391383291	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_44_MS-P5-C5_1_Rg70to1050-CE102040norm--S1_Run235.h5	HF_Aug2019	
abscisic aldehyde	RIKWDZWVHUIUAM-KICRZJJPSA-N	[M-H]-	247.13397	0.891507531	0.141507531	1.641507531	20	negative	none				HF_Aug2019	
hexachlorophene	ACGUYXCXAPNIKK-UHFFFAOYSA-N	[M-H]-	402.8426195	0.892445128	0.392445128	1.392445128	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_27_MS-P3-C8_1_Rg70to1050-CE102040norm--S1_Run148.h5	HF_Aug2019	
dehydrocholate sodium	OHXPGWPVLFPUSM-NDGTYXLASA-N	[M-H]-	401.2333482	0.897026075	0.397026075	1.397026075	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_11_MS-P2-C2_1_Rg70to1050-CE102040norm--S1_Run67.h5	HF_Aug2019	
flurbiprofen	SYTBZMRGLBWNTM-UHFFFAOYSA-N	[M-H]-	243.0826819	0.909490495	0.409490495	1.409490495	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_23_MS-P3-C4_1_Rg70to1050-CE205060norm--S1_Run129.h5	HF_Aug2019	
acetosyringone	OJOBTAOGJIWAGB-UHFFFAOYSA-N	[M-H]-	195.06628	0.911838935	0.161838935	1.661838935	20	negative	none				HF_Aug2019	
acetoin	ROWKJAVDOGWPAT-UHFFFAOYSA-N	[M-H]-	87.0451535	0.913170779	0.413170779	1.413170779	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250723_JGI_YZ_511297_AnabescPyrofur_pilot-std_EXP120B_HILICZ_USHXG02663/20250723_JGI_YZ_511297_AnabescPyrofur_pilot-std_EXP120B_HILICZ_USHXG02663_NEG_MS2_RefStd-MixA-100_MixA-100_1_Rg70to1050-CE102040norm-100ugml-S1_Run141.h5	HF_Aug2019	
sulfisoxazole	NHUHCSRWZMLRLA-UHFFFAOYSA-N	[M-H]-	266.0604863	0.913747164	0.413747164	1.413747164	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_49_MS-P5-C10_1_Rg70to1050-CE205060norm--S1_Run262.h5	HF_Aug2019	
meclofenamate sodium	SBDNJUWAMKYJOX-UHFFFAOYSA-N	[M-H]-	294.009408	0.918810325	0.418810325	1.418810325	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_25_MS-P3-C6_1_Rg70to1050-CE205060norm--S1_Run139.h5	HF_Aug2019	
naproxen	CMWTZPSULFXXJA-VIFPVBQESA-N	[M-H]-	229.0870183	0.924914336	0.424914336	1.424914336	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_37_MS-P4-C8_1_Rg70to1050-CE102040norm--S1_Run200.h5	HF_Aug2019	
