label	compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	rt_space	tags
NOSCAPINE HYDROCHLORIDE	NOSCAPINE HYDROCHLORIDE	AKNNEGZIBPJZJG-QZTJIDSGSA-N	[M+H]+	414.1547281	0.80600897	0.30600897	1.30600897	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_32_MS-P4-C3_1_Rg70to1050-CE205060norm--S1_Run173.h5	HF_Aug2019	
PYRAZINAMIDE	PYRAZINAMIDE	IPEHBUMCGVEMRF-UHFFFAOYSA-N	[M+H]+	124.0505378	0.807896945	0.307896945	1.307896945	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_46_MS-P5-C7_1_Rg70to1050-CE205060norm--S1_Run245.h5	HF_Aug2019	
CLOTRIMAZOLE	CLOTRIMAZOLE	VNFPBHJOKIVQEB-UHFFFAOYSA-N	[M+H]+	345.1153022	0.810178108	0.310178108	1.310178108	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_11_MS-P2-C2_1_Rg70to1050-CE205060norm--S1_Run66.h5	HF_Aug2019	
Acetolactate	Acetolactate	WTLNOANVTIKPEE-UHFFFAOYSA-N	[M-H2O+H]+	115.0389697	0.810970516	0.310970516	1.310970516	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250723_JGI_YZ_511297_AnabescPyrofur_pilot-std_EXP120B_HILICZ_USHXG02663/20250723_JGI_YZ_511297_AnabescPyrofur_pilot-std_EXP120B_HILICZ_USHXG02663_POS_MS2_RefStd-MixA-100_MixA-100_1_Rg70to1050-CE102040norm-100ugml-S1_Run140.h5	HF_Aug2019	
SULFAMETHOXAZOLE	SULFAMETHOXAZOLE	JLKIGFTWXXRPMT-UHFFFAOYSA-N	[M+H]+	254.0593882	0.811501354	0.311501354	1.311501354	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_44_MS-P5-C5_1_Rg70to1050-CE102040norm--S1_Run233.h5	HF_Aug2019	
5-hydroxy-3-methylbutenolide	5-hydroxy-3-methylbutenolide	HQIZYPQNJWENRT-UHFFFAOYSA-N	[M-H2O+H]+	97.028405052	0.8117727298514771	0.3117727298514771	1.311772729851477	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402_POS_MS2_RefStd-46_5-hydroxy-3-methylbutenolide_1_Rg70to1050-CE205060norm-strigo-ACNwater-S1_Run714.h5	HF_Aug2019	
Alyssin	Alyssin	IUUQPVQTAUKPPB-UHFFFAOYSA-N	[M+H]+	192.051132036	0.8130487610660847	0.3130487610660847	1.3130487610660846	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402_POS_MS2_RefStd-14_Alyssin_1_Rg70to1050-CE205060norm-isothiocyanate-ACNwater-S1_Run552.h5	HF_Aug2019	
Sulforaphane	Sulforaphane	SUVMJBTUFCVSAD-UHFFFAOYSA-N	[M+H]+	178.035481972	0.8151004474242326	0.3151004474242326	1.3151004474242325	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402_POS_MS2_RefStd-15_Sulforaphane_1_Rg70to1050-CE205060norm-isothiocyanate-ACNwater-S1_Run557.h5	HF_Aug2019	
OXYPHENBUTAZONE	OXYPHENBUTAZONE	HFHZKZSRXITVMK-UHFFFAOYSA-N	[M+H]+	325.1546685	0.853930612	0.353930612	1.353930612	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_31_MS-P4-C2_1_Rg70to1050-CE205060norm--S1_Run168.h5	HF_Aug2019	
4-Methoxybenzyl Alcohol	4-Methoxybenzyl Alcohol	MSHFRERJPWKJFX-UHFFFAOYSA-N	[M-H2O+H]+	121.06479056	0.8672502269072431	0.367250226907243	1.367250226907243	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20250610_JGI_MB-KW_510659_MtrophMeth-13C_final_EXP120B_HILICZ_USHXG01827/20250610_JGI_MB-KW_510659_MtrophMeth-13C_final_EXP120B_HILICZ_USHXG01827_POS_MS2_RefStd-S20_4-MethoxybenzylAlcohol_A_Rg70to1050-CE102040norm-super-S1_Run467.h5	HF_Aug2019	
abscisic aldehyde	abscisic aldehyde	RIKWDZWVHUIUAM-KICRZJJPSA-N	[M+H]+	249.14852	0.869563794	0.119563794	1.619563794	20	positive	none				HF_Aug2019	
abscisic aldehyde	abscisic aldehyde	RIKWDZWVHUIUAM-KICRZJJPSA-N	[M+H-H2O]+	231.13796	0.869563794	0.119563794	1.619563794	20	positive	none				HF_Aug2019	
Phenazine	Phenazine	PCNDJXKNXGMECE-UHFFFAOYSA-N	[M+H]+	181.07602	0.872303091	0.122303091	1.622303091	20	positive	none				HF_Aug2019	
4-Hydroxy-3-5-Dimethoxybenzyl Alcohol	4-Hydroxy-3-5-Dimethoxybenzyl Alcohol	LUOAEJWSKPQLJD-UHFFFAOYSA-N	[M-H2O+H]+	167.070269864	0.8793387898940948	0.3793387898940947	1.3793387898940948	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20250610_JGI_MB-KW_510659_MtrophMeth-13C_final_EXP120B_HILICZ_USHXG01827/20250610_JGI_MB-KW_510659_MtrophMeth-13C_final_EXP120B_HILICZ_USHXG01827_POS_MS2_RefStd-S18_4-Hydroxy-3-5-DimethoxybenzylAlcohol_A_Rg70to1050-CE102040norm-super-S1_Run462.h5	HF_Aug2019	
3-4-5-Trimethoxybenzyl Alcohol	3-4-5-Trimethoxybenzyl Alcohol	QPHLRCUCFDXGLY-UHFFFAOYSA-N	[M-H2O+H]+	181.085919928	0.8819492826213284	0.3819492826213284	1.3819492826213289	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20250610_JGI_MB-KW_510659_MtrophMeth-13C_final_EXP120B_HILICZ_USHXG01827/20250610_JGI_MB-KW_510659_MtrophMeth-13C_final_EXP120B_HILICZ_USHXG01827_POS_MS2_RefStd-S16_3-4-5-TrimethoxybenzylAlcohol_A_Rg70to1050-CE102040norm-super-S1_Run445.h5	HF_Aug2019	
3-4-Dimethoxybenzyl Alcohol	3-4-Dimethoxybenzyl Alcohol	OEGPRYNGFWGMMV-UHFFFAOYSA-N	[M-H2O+H]+	151.075355244	0.8879876154275018	0.3879876154275018	1.3879876154275017	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20250610_JGI_MB-KW_510659_MtrophMeth-13C_final_EXP120B_HILICZ_USHXG01827/20250610_JGI_MB-KW_510659_MtrophMeth-13C_final_EXP120B_HILICZ_USHXG01827_POS_MS2_RefStd-S22_3-4-DimethoxybenzylAlcohol_A_Rg70to1050-CE102040norm-super-S1_Run477.h5	HF_Aug2019	
3-4-5-Trimethoxybenzyl Alcohol (13C3)	3-4-5-Trimethoxybenzyl Alcohol (13C3)	QPHLRCUCFDXGLY-VMIGTVKRSA-N	[M-H2O+H]+	184.095984448	0.8883519216508828	0.3883519216508828	1.3883519216508828	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20250610_JGI_MB-KW_510659_MtrophMeth-13C_final_EXP120B_HILICZ_USHXG01827/20250610_JGI_MB-KW_510659_MtrophMeth-13C_final_EXP120B_HILICZ_USHXG01827_POS_MS2_RefStd-S15_13C3-3-4-5-TrimethoxybenzylAlcohol_B_Rg70to1050-CE205060norm-super-S1_Run520.h5	HF_Aug2019	
Acetosyringone	Acetosyringone	OJOBTAOGJIWAGB-UHFFFAOYSA-N	[M+H]+	197.08084	0.889033693	0.139033693	1.639033693	20	positive	none				HF_Aug2019	
