compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	standard_source	rt_space
ABMBA (unlabeled)	LCMZECCEEOQWLQ-UHFFFAOYSA-N	[M-H]-	227.96656	1.121446478	0.821446478	1.421446478	5	negative	nan				HF_Aug2019
thymine (U - 13C, 15N)	RWQNBRDOKXIBIV-BNUYUSEDSA-N	[M-H]-	132.04649	1.255231064	0.955231064	1.555231064	5	negative	nan				HF_Aug2019
thymine (unlabeled)	RWQNBRDOKXIBIV-UHFFFAOYSA-N	[M-H]-	125.03565	1.255231064	0.955231064	1.555231064	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
uracil (U - 13C, 15N)	ISAKRJDGNUQOIC-IDEBNGHGSA-N	[M-H]-	117.02749	1.393699506	1.093699506	1.693699506	5	negative	nan				HF_Aug2019
uracil (unlabeled)	ISAKRJDGNUQOIC-UHFFFAOYSA-N	[M-H]-	111.02	1.393699506	1.093699506	1.693699506	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA01F03 2. MZRT: m/z-rt manually verified 3. PEAK: nice with right shoulder 4. SPECTRUM: none				HF_Aug2019
adenine (U - 15N)	GFFGJBXGBJISGV-CIKZIQIKSA-N	[M-H]-	139.03239	2.677601998	2.377601998	2.977601998	5	negative	nan				HF_Aug2019
adenine (unlabeled)	GFFGJBXGBJISGV-UHFFFAOYSA-N	[M-H]-	134.04721	2.677601998	2.377601998	2.977601998	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
hypoxanthine (U - 15N)	FDGQSTZJBFJUBT-NNZQUYKOSA-N	[M-H]-	139.01937	3.102967341	2.802967341	3.402967341	5	negative	nan				HF_Aug2019
hypoxanthine (unlabeled)	FDGQSTZJBFJUBT-UHFFFAOYSA-N	[M-H]-	135.03123	3.102967341	2.802967341	3.402967341	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA01F07 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NML2016 3. PEAK: nice 4. SPECTRUM: none				HF_Aug2019
ribitol (U - 13C)	HEBKCHPVOIAQTA-OWTCIZGHSA-N	[M-H]-	152.0645485	4.753389734	4.453389734	5.053389734	5	negative	nan				HF_Aug2019
ribitol (unlabeled)	HEBKCHPVOIAQTA-ZXFHETKHSA-N	[M-H]-	151.0611985	4.753389734	4.453389734	5.053389734	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA06F09 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NML2016 3. PEAK: none 4. SPECTRUM: perfect metatlas, nist has missing peaks				HF_Aug2019
cytosine (13C2, 15N3)	OPTASPLRGRRNAP-SLOBMOILSA-N	[M-H]-	115.03379	4.833663875	4.533663875	5.133663875	5	negative	nan				HF_Aug2019
cytosine (unlabeled)	OPTASPLRGRRNAP-UHFFFAOYSA-N	[M-H]-	110.03598	4.833663875	4.533663875	5.133663875	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
xylitol (U - 13C)	HEBKCHPVOIAQTA-FCLZTKDGSA-N	[M-H]-	156.0779535	4.846594745	4.546594745	5.146594745	5	negative	nan				HF_Aug2019
xylitol (unlabeled)	HEBKCHPVOIAQTA-NGQZWQHPSA-N	[M-H]-	151.0612035	4.846594745	4.546594745	5.146594745	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
lactic acid (U - 13C)	JVTAAEKCZFNVCJ-VMIGTVKRSA-N	[M-H]-	92.03447353	4.856947752	4.556947752	5.156947752	5	negative	nan				HF_Aug2019
lactic acid (unlabeled)	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	[M-H]-	89.02442353	4.856947752	4.556947752	5.156947752	5	negative	nan				HF_Aug2019
arabinitol (U - 13C)	HEBKCHPVOIAQTA-QSYSQFBZSA-N	[M-H]-	152.0645485	5.187915926	4.887915926	5.487915926	5	negative	nan				HF_Aug2019
arabinitol (unlabeled)	HEBKCHPVOIAQTA-IMJSIDKUSA-N	[M-H]-	151.0612035	5.187915926	4.887915926	5.487915926	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA06H03 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NML2016 3. PEAK: nice w/ long tail 4. SPECTRUM: perfect msms				HF_Aug2019
inosine (U - 15N)	UGQMRVRMYYASKQ-SHKQESLVSA-N	[M-H]-	271.06163	5.434235961	5.134235961	5.734235961	5	negative	nan				HF_Aug2019
inosine (unlabeled)	UGQMRVRMYYASKQ-KQYNXXCUSA-N	[M-H]-	267.07349	5.434235961	5.134235961	5.734235961	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
pyruvic acid (U - 13C)	LCTONWCANYUPML-VMIGTVKRSA-N	[M-H]-	90.01882353	5.487306336	5.187306336	5.787306336	5	negative	nan				HF_Aug2019
pyruvic acid (unlabeled)	LCTONWCANYUPML-UHFFFAOYSA-N	[M-H]-	87.00877353	5.487306336	5.187306336	5.787306336	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
fructose (U - 13C)	LKDRXBCSQODPBY-TXOLJYCISA-N	[M-H]-	185.0762135	6.002269725	5.702269725	6.302269725	5	negative	nan				HF_Aug2019
fructose (unlabeled)	LKDRXBCSQODPBY-VRPWFDPXSA-N	[M-H]-	179.0561135	6.002269725	5.702269725	6.302269725	5	negative	nan				HF_Aug2019
guanine (U - 15N)	UYTPUPDQBNUYGX-CIKZIQIKSA-N	[M-H]-	155.0273	6.265359988	5.965359988	6.565359988	5	negative	nan				HF_Aug2019
guanine (unlabeled)	UYTPUPDQBNUYGX-UHFFFAOYSA-N	[M-H]-	150.04213	6.265359988	5.965359988	6.565359988	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA01G06 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NML2016, NIST, MONA 3. PEAK: nice 4. SPECTRUM: none				HF_Aug2019
N-acetyl-glucosamine (U - 13C)	OVRNDRQMDRJTHS-ZEUBEQSHSA-N	[M-H]-	226.1027635	6.741088465	6.441088465	7.041088465	5	negative	nan				HF_Aug2019
N-acetyl-glucosamine (unlabeled)	OVRNDRQMDRJTHS-RTRLPJTCSA-N	[M-H]-	220.0826635	6.741088465	6.441088465	7.041088465	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: NMLC0901 2. MZRT: m/z-rt manually verified; MSMS confirmed by: mona_score 3. PEAK: right shoulder 4. SPECTRUM: perfect				HF_Aug2019
mannose (U - 13C)	WQZGKKKJIJFFOK-APHFOIPNSA-N	[M-H]-	185.0762135	7.883960678	7.583960678	8.183960678	5	negative	nan				HF_Aug2019
mannose (unlabeled)	WQZGKKKJIJFFOK-QTVWNMPRSA-N	[M-H]-	179.0561135	7.883960678	7.583960678	8.183960678	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
mannitol (U - 13C)	FBPFZTCFMRRESA-CRWJSTOYSA-N	[M-H]-	187.09189	9.534507075	8.784507075	10.28450708	5	negative	nan				HF_Aug2019
mannitol (unlabeled)	FBPFZTCFMRRESA-KVTDHHQDSA-N	[M-H]-	181.0718	9.534507075	8.784507075	10.28450708	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
phenylalanine (U - 13C, 15N)	COLNVLDHVKWLRT-CMLFETTRSA-N	[M-H]-	174.09893	8.979305704	8.679305704	9.279305704	5	negative	nan				HF_Aug2019
phenylalanine (unlabeled)	COLNVLDHVKWLRT-QMMMGPOBSA-N	[M-H]-	164.0717	8.979305704	8.679305704	9.279305704	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: NMLQCsopV3c30 2. MZRT: m/z-rt manually verified 3. PEAK: nice 4. SPECTRUM: none				HF_Aug2019
leucine (U - 13C, 15N)	ROHFNLRQFUQHCH-BNUYUSEDSA-N	[M-H]-	137.10451	9.319656306	9.019656306	9.619656306	5	negative	nan				HF_Aug2019
leucine (unlabeled)	ROHFNLRQFUQHCH-UHFFFAOYSA-N	[M-H]-	130.08735	9.319656306	9.019656306	9.619656306	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
galactitol (U - 13C)	FBPFZTCFMRRESA-FYUKPSRXSA-N	[M-H]-	182.0751135	9.513186534	9.213186534	9.813186534	5	negative	nan				HF_Aug2019
galactitol (unlabeled)	FBPFZTCFMRRESA-GUCUJZIJSA-N	[M-H]-	181.0717635	9.513186534	9.213186534	9.813186534	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA02C05 2. MZRT: m/z-rt manually verified 3. PEAK: low intensity 4. SPECTRUM: none				HF_Aug2019
isoleucine (U - 13C, 15N)	AGPKZVBTJJNPAG-PVHYACKGSA-N	[M-H]-	137.10451	9.70543744	9.40543744	10.00543744	5	negative	nan				HF_Aug2019
isoleucine (unlabeled)	AGPKZVBTJJNPAG-WHFBIAKZSA-N	[M-H]-	130.08735	9.70543744	9.40543744	10.00543744	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
succinic acid peak 1 (U - 13C)	KDYFGRWQOYBRFD-JCDJMFQYSA-N	[M-H]-	121.0327515	10.09616705	9.796167045	10.39616705	5	negative	nan				HF_Aug2019
succinic acid peak 1 (unlabeled)	KDYFGRWQOYBRFD-UHFFFAOYSA-N	[M-H]-	115.0036835	10.09616705	9.796167045	10.39616705	5	negative	nan				HF_Aug2019
tryptophan (U - 13C, 15N)	QIVBCDIJIAJPQS-HNEHNLBWSA-N	[M-H]-	216.11357	10.15664925	9.85664925	10.45664925	5	negative	nan				HF_Aug2019
tryptophan (unlabeled)	QIVBCDIJIAJPQS-SECBINFHSA-N	[M-H]-	203.0826	10.15664925	9.85664925	10.45664925	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
methionine (U - 13C, 15N)	FFEARJCKVFRZRR-XAFSXMPTSA-N	[M-H]-	154.05758	10.4409554	10.1409554	10.7409554	5	negative	nan				HF_Aug2019
methionine (unlabeled)	FFEARJCKVFRZRR-BYPYZUCNSA-N	[M-H]-	148.04377	10.4409554	10.1409554	10.7409554	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: NMLQCsopV3c36 2. MZRT: m/z-rt manually verified 3. PEAK: nice 4. SPECTRUM: none				HF_Aug2019
proline (U - 13C, 15N)	ONIBWKKTOPOVIA-XAFSXMPTSA-N	[M-H]-	120.06986	10.91977168	10.61977168	11.21977168	5	negative	nan				HF_Aug2019
proline (unlabeled)	ONIBWKKTOPOVIA-BYPYZUCNSA-N	[M-H]-	114.05605	10.91977168	10.61977168	11.21977168	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: NMLQCsopV3c37 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NML2016 3. PEAK: nice 4. SPECTRUM: none				HF_Aug2019
valine (U - 13C, 15N)	KZSNJWFQEVHDMF-XAFSXMPTSA-N	[M-H]-	122.08551	11.11600911	10.81600911	11.41600911	5	negative	nan				HF_Aug2019
valine (unlabeled)	KZSNJWFQEVHDMF-BYPYZUCNSA-N	[M-H]-	116.0717	11.11600911	10.81600911	11.41600911	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
succinic acid peak 2 (U - 13C)	KDYFGRWQOYBRFD-JCDJMFQYSA-N	[M-H]-	121.0327515	11.41515978	11.11515978	11.71515978	5	negative	nan				HF_Aug2019
succinic acid peak 2 (unlabeled)	KDYFGRWQOYBRFD-UHFFFAOYSA-N	[M-H]-	115.0036835	11.41515978	11.11515978	11.71515978	5	negative	nan				HF_Aug2019
tyrosine (U - 13C, 15N)	OUYCCCASQSFEME-CMLFETTRSA-N	[M-H]-	190.09384	11.85515564	11.55515564	12.15515564	5	negative	nan				HF_Aug2019
tyrosine (unlabeled)	OUYCCCASQSFEME-QMMMGPOBSA-N	[M-H]-	180.06661	11.85515564	11.55515564	12.15515564	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
sucrose (U - 13C)	CZMRCDWAGMRECN-UHSKIMHLSA-N	[M-H]-	353.1491435	13.3536946	13.0536946	13.6536946	5	negative	nan				HF_Aug2019
sucrose (unlabeled)	CZMRCDWAGMRECN-UGDNZRGBSA-N	[M-H]-	341.1089435	13.3536946	13.0536946	13.6536946	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
alanine (U - 13C, 15N)	QNAYBMKLOCPYGJ-UVYXLFMMSA-N	[M-H]-	92.0475	13.40509074	13.10509074	13.70509074	5	negative	nan				HF_Aug2019
